id,cname,party,party_name,party_id,eu_position,eu_salience,eu_dissent,eu_benefit,eu_ep,eu_intmark,eu_cohesion,eu_foreign,eu_turkey,eu_budgets,lrgen,lrecon,lrecon_salience,galtan,galtan_salience,spendvtax,deregulation,redistribution,econ_interven,civlib_laworder,sociallifestyle,religious_principle,immigrate_policy,multiculturalism,urban_rural,environment,regions,international_security,ethnic_minorities,nationalism,antielite_salience,corrupt_salience,first_most_important,second_most_important,third_most_important
2,spa,14,C's,526,in favor,3,1,benefited,in favor,in favor,strongly in favor,strongly in favor,neutral,somewhat in favor,center,center,4,3,6,5,5,5,5,4,2,3,5,5,5,4,6,5,5,3,7,7,decentralization,nationalism,corruption
5,spa,14,C's,526,strongly in favor,great importance,party was completely united,benefited,strongly in favor,strongly in favor,strongly in favor,strongly in favor,somewhat in favor,in favor,6,9,9,3,6,5,8,9,8,7,1,5,fully supports restrictive immigration policy,strongly favours assimilation,5,4,9,2,strongly opposes more rights for ethnic minorities,7,8,extremely important,corruption,anti-elite rhetoric,public services vs taxes
9,spa,14,C's,526,strongly in favor,great importance,party was completely united,benefited,strongly in favor,strongly in favor,strongly in favor,strongly in favor,,somewhat in favor,center,7,great importance,1,9,7,8,7,5,5,strongly supports liberal policies,1,5,5,4,5,4,5,5,1,3,9,corruption,public services vs taxes,redistribution
7,spa,14,C's,526,strongly in favor,3,1,benefited,strongly in favor,in favor,strongly in favor,strongly in favor,somewhat in favor,in favor,center,6,7,4,8,5,4,4,5,4,1,2,4,5,3,5,4,2,7,2,9,extremely important,anti-elite rhetoric,corruption,civil liberties
8,spa,14,C's,526,strongly in favor,8,1,benefited,,strongly in favor,strongly in favor,strongly in favor,,,3,7,5,6,5,6,7,7,7,6,7,5,8,6,3,3,5,5,5,4,6,7,,,
3,spa,14,C's,526,in favor,2,,,,,strongly in favor,,,opposed,8,7,1,2,1,,,,,9,4,1,,,,,9,,,strongly promotes nationalist concepts for society,5,6,nationalism,decentralization,anti-elite rhetoric
6,spa,14,C's,526,in favor,4,1,benefited,strongly in favor,neutral,in favor,in favor,,in favor,6,6,6,2,4,4,4,4,3,3,3,3,7,6,2,,7,,,6,8,9,corruption,anti-elite rhetoric,decentralization
4,spa,14,C's,526,strongly in favor,8,,benefited,,,in favor,in favor,,in favor,,,,,,,6,,,,,,,,,,8,,,,,,,,
10,spa,14,C's,526,,great importance,,,,,,,,neutral,center,center,7,center,5,4,6,5,6,4,3,3,6,,,,strongly opposes political decentralization,,,strongly promotes nationalist concepts for society,8,8,nationalism,decentralization,anti-elite rhetoric
1,spa,14,C's,526,strongly in favor,8,2,benefited,strongly in favor,,,,,,7,,8,3,8,5,7,5,7,6,5,5,5,5,5,,8,5,5,2,3,8,civil liberties,nationalism,multiculturalism
11,fra,2,PS,602,in favor,5,9,benefited,in favor,neutral,in favor,in favor,neutral,neutral,,,,,,,,,,,,,,,,,,,,,,,,,
12,fra,2,PS,602,somewhat in favor,3,7,benefited,in favor,neutral,somewhat in favor,,somewhat opposed,somewhat opposed,4,3,4,4,5,,,,,,,,,,,,,,,,,,,,
3,fra,2,PS,602,somewhat in favor,4,8,benefited,in favor,,in favor,strongly in favor,somewhat opposed,somewhat in favor,3,4,8,4,8,2,3,1,2,1,1,2,3,5,2,4,5,2,2,4,7,6,state intervention,public services vs taxes,redistribution
4,fra,2,PS,602,strongly in favor,7,7,benefited,in favor,in favor,somewhat in favor,in favor,somewhat in favor,somewhat opposed,4,center,8,2,8,4,5,4,4,3,2,2,6,3,3,4,4,3,4,3,4,3,public services vs taxes,EU integration,social lifestyle
5,fra,2,PS,602,strongly in favor,7,2,benefited,,,,,,,4,3,7,3,7,5,4,3,3,3,2,1,4,5,4,2,3,3,2,3,3,3,public services vs taxes,redistribution,multiculturalism
13,fra,2,PS,602,in favor,,,,in favor,somewhat in favor,,somewhat in favor,opposed,somewhat in favor,3,3,9,,great importance,,,,,,,,,,,,,,,,,,,,
7,fra,2,PS,602,somewhat in favor,6,7,benefited,in favor,somewhat opposed,in favor,in favor,somewhat opposed,somewhat opposed,4,4,9,3,3,3,6,4,3,3,2,8,3,8,,5,6,2,2,4,1,6,,,
10,fra,2,PS,602,somewhat in favor,6,7,benefited,neutral,somewhat opposed,somewhat in favor,,somewhat opposed,opposed,4,4,4,7,6,3,3,3,4,5,2,3,5,5,4,6,2,5,5,6,5,5,public services vs taxes,decentralization,state intervention
14,fra,2,PS,602,strongly in favor,3,7,benefited,neutral,in favor,somewhat in favor,somewhat in favor,somewhat in favor,in favor,center,6,great importance,center,6,6,7,5,6,6,3,1,6,4,4,7,5,1,7,6,2,4,public services vs taxes,social lifestyle,deregulation
9,fra,2,PS,602,somewhat in favor,7,6,benefited,somewhat in favor,in favor,,,,,,,,,,2,1,2,2,6,1,strongly opposes religious principles in politics,1,2,,3,1,8,2,6,6,8,EU integration,state intervention,civil liberties
1,fra,2,PS,602,somewhat in favor,5,7,benefited,somewhat in favor,neutral,,,,somewhat opposed,4,center,6,2,6,5,5,4,4,4,3,3,6,6,,7,3,3,4,5,2,1,public services vs taxes,state intervention,social lifestyle
6,fra,2,PS,602,in favor,6,9,benefited,in favor,in favor,in favor,in favor,somewhat in favor,somewhat opposed,3,2,4,2,7,3,3,3,3,2,2,1,4,4,3,7,2,2,3,2,2,1,EU integration,public services vs taxes,decentralization
8,fra,2,PS,602,in favor,2,5,benefited,somewhat in favor,somewhat in favor,,somewhat in favor,,somewhat opposed,4,center,8,2,6,4,4,fully in favour of redistribution of wealth,5,3,strongly supports liberal policies,strongly opposes religious principles in politics,,5,,7,2,,3,2,not important at all,not important at all,state intervention,redistribution,social lifestyle
2,fra,2,PS,602,in favor,5,,benefited,,strongly in favor,,,,neutral,4,2,8,3,,5,6,5,6,7,3,strongly opposes religious principles in politics,9,5,,7,,4,7,6,,,,,
10,fra,3,PRG,603,somewhat in favor,6,4,benefited,somewhat in favor,neutral,somewhat in favor,,somewhat opposed,somewhat opposed,center,4,4,center,5,3,3,3,3,5,2,2,4,5,7,3,2,5,6,6,5,5,EU integration,multiculturalism,urban vs rural
2,fra,3,PRG,603,in favor,,,benefited,,neutral,,,,neutral,,2,,3,,,5,,4,,2,strongly opposes religious principles in politics,,,,7,,,,,,,,,
11,fra,3,PRG,603,,,,benefited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,fra,3,PRG,603,strongly in favor,3,2,benefited,somewhat in favor,in favor,somewhat in favor,somewhat in favor,in favor,in favor,center,6,7,4,6,5,6,4,6,3,1,strongly opposes religious principles in politics,5,5,7,7,7,2,8,7,3,5,social lifestyle,multiculturalism,state intervention
12,fra,3,PRG,603,in favor,4,4,benefited,in favor,neutral,somewhat in favor,,neutral,neutral,center,4,great importance,center,5,,,,,,,,,,,,,,,,,,,,
7,fra,3,PRG,603,somewhat opposed,7,2,not benefited,somewhat in favor,opposed,somewhat in favor,somewhat opposed,somewhat opposed,opposed,2,2,9,6,3,2,3,1,2,3,3,9,7,9,,8,7,4,3,3,8,3,,,
9,fra,3,PRG,603,in favor,7,3,benefited,somewhat in favor,in favor,,,,,,,,,,2,1,2,2,6,1,strongly opposes religious principles in politics,1,2,,3,1,8,2,6,6,8,,,
8,fra,3,PRG,603,in favor,2,,,somewhat in favor,somewhat in favor,,somewhat in favor,,neutral,4,center,6,1,6,4,4,fully in favour of redistribution of wealth,5,,strongly supports liberal policies,strongly opposes religious principles in politics,,5,,7,,,3,2,not important at all,not important at all,,,
13,fra,3,PRG,603,in favor,,,,in favor,somewhat in favor,,somewhat in favor,opposed,somewhat in favor,3,3,7,libertarian/postmaterialist,9,,,,,,,,,,,,,,,,,,,,
6,fra,3,PRG,603,strongly in favor,6,2,benefited,in favor,strongly in favor,in favor,in favor,somewhat in favor,somewhat opposed,3,3,2,1,9,3,3,4,3,1,1,strongly opposes religious principles in politics,4,5,1,5,1,4,4,1,2,2,civil liberties,EU integration,ethnic minorities
1,fra,3,PRG,603,somewhat in favor,,,benefited,,,,,,,4,4,great importance,4,great importance,,,,4,5,4,2,,,,,3,,3,,,1,,,
3,fra,3,PRG,603,in favor,4,5,benefited,in favor,,in favor,strongly in favor,somewhat opposed,somewhat in favor,4,3,7,center,7,3,4,2,3,3,2,2,3,5,7,5,3,3,4,5,4,5,public services vs taxes,state intervention,decentralization
4,fra,3,PRG,603,in favor,5,,benefited,in favor,somewhat in favor,somewhat in favor,in favor,somewhat in favor,,4,center,5,4,6,4,5,5,4,,4,3,5,5,6,5,3,4,5,4,3,3,,,
5,fra,3,PRG,603,strongly in favor,6,2,benefited,,,,,,,3,4,6,3,5,5,4,4,3,3,2,1,3,4,3,3,3,4,2,2,3,3,redistribution,state intervention,social lifestyle
6,fra,4,EELV,605,strongly in favor,8,2,benefited,strongly in favor,in favor,in favor,somewhat in favor,in favor,opposed,2,2,2,1,9,2,2,4,2,1,1,3,2,1,4,3,2,5,2,strongly promotes cosmopolitan concepts of society,6,6,enviornment,EU integration,ethnic minorities
10,fra,4,EELV,605,somewhat in favor,6,6,benefited,strongly in favor,neutral,in favor,,neutral,somewhat opposed,4,4,3,8,6,3,3,2,3,3,1,2,1,3,3,2,2,7,2,3,6,5,enviornment,decentralization,EU integration
3,fra,4,EELV,605,strongly in favor,9,2,benefited,strongly in favor,,in favor,strongly in favor,,in favor,3,2,6,1,great importance,2,1,1,1,strongly promotes civil liberties,strongly supports liberal policies,2,2,2,2,strongly supports environ. protections,1,4,strongly supports more rights for ethnic minorities,1,9,8,enviornment,civil liberties,public services vs taxes
8,fra,4,EELV,605,strongly in favor,6,party was completely united,benefited,strongly in favor,opposed,,in favor,,somewhat opposed,2,3,7,libertarian/postmaterialist,7,2,strongly opposes deregulation,fully in favour of redistribution of wealth,3,1,strongly supports liberal policies,strongly opposes religious principles in politics,,strongly favours multiculturalism,,strongly supports environ. protections,strongly favours political decentralization,,1,strongly promotes cosmopolitan concepts of society,2,not important at all,enviornment,redistribution,multiculturalism
11,fra,4,EELV,605,strongly in favor,6,5,benefited,strongly in favor,somewhat opposed,in favor,in favor,somewhat in favor,neutral,,,,,,,,,,,,,,,,,,,,,,,,,
14,fra,4,EELV,605,strongly in favor,8,3,benefited,strongly in favor,somewhat opposed,strongly in favor,strongly in favor,strongly in favor,somewhat in favor,3,3,6,libertarian/postmaterialist,8,2,2,fully in favour of redistribution of wealth,3,strongly promotes civil liberties,strongly supports liberal policies,1,fully opposed to restrictive immigration policy,strongly favours multiculturalism,4,strongly supports environ. protections,strongly favours political decentralization,6,3,1,5,extremely important,enviornment,redistribution,multiculturalism
9,fra,4,EELV,605,in favor,7,3,benefited,somewhat in favor,in favor,,,,,,,,,,fully in favour of raising taxes for services,strongly opposes deregulation,1,1,2,strongly supports liberal policies,strongly opposes religious principles in politics,fully opposed to restrictive immigration policy,strongly favours multiculturalism,,strongly supports environ. protections,1,strongly opposes troop deployment,strongly supports more rights for ethnic minorities,1,8,9,enviornment,civil liberties,decentralization
1,fra,4,EELV,605,somewhat in favor,3,7,benefited,strongly in favor,somewhat opposed,,,,somewhat opposed,3,3,4,1,8,3,4,3,3,2,1,3,3,5,,2,3,7,2,3,5,4,enviornment,public services vs taxes,social lifestyle
5,fra,4,EELV,605,in favor,5,4,benefited,,,,,,,center,4,5,2,8,3,3,3,3,3,1,strongly opposes religious principles in politics,2,2,2,strongly supports environ. protections,2,7,1,2,6,6,enviornment,civil liberties,social lifestyle
13,fra,4,EELV,605,strongly in favor,,,,in favor,neutral,,somewhat in favor,opposed,somewhat opposed,2,2,6,libertarian/postmaterialist,great importance,,,,,,,,,,,,,,,,,,,,
12,fra,4,EELV,605,in favor,5,6,benefited,in favor,neutral,in favor,,neutral,neutral,center,center,great importance,3,5,,,,,,,,,,,,,,,,,,,,
4,fra,4,EELV,605,in favor,6,3,benefited,strongly in favor,in favor,in favor,in favor,in favor,somewhat in favor,3,center,6,libertarian/postmaterialist,8,3,4,4,4,2,1,2,3,2,2,1,6,6,2,1,6,5,enviornment,redistribution,
2,fra,4,EELV,605,in favor,great importance,,benefited,strongly in favor,somewhat in favor,,strongly in favor,,opposed,1,1,7,libertarian/postmaterialist,9,fully in favour of raising taxes for services,strongly opposes deregulation,1,1,strongly promotes civil liberties,strongly supports liberal policies,strongly opposes religious principles in politics,2,strongly favours multiculturalism,2,strongly supports environ. protections,,4,,strongly promotes cosmopolitan concepts of society,3,extremely important,civil liberties,enviornment,redistribution
7,fra,4,EELV,605,somewhat in favor,5,2,neither benefit/lost,in favor,opposed,somewhat in favor,neutral,neutral,somewhat opposed,4,center,6,1,5,2,6,3,3,3,1,7,6,5,,1,1,7,1,5,3,3,,,
7,fra,5,UMP,609,somewhat in favor,7,6,benefited,strongly in favor,somewhat in favor,in favor,in favor,strongly opposed,somewhat in favor,7,center,9,6,6,3,7,7,3,3,3,4,4,8,,7,4,2,4,1,1,8,,,
4,fra,5,UMP,609,in favor,5,6,benefited,somewhat in favor,strongly in favor,somewhat opposed,in favor,strongly opposed,somewhat in favor,7,7,8,7,8,7,7,8,5,6,7,6,8,7,7,7,3,3,7,7,3,3,deregulation,EU integration,public services vs taxes
6,fra,5,UMP,609,somewhat in favor,5,7,benefited,somewhat in favor,somewhat in favor,somewhat in favor,somewhat in favor,opposed,somewhat in favor,8,8,5,8,6,7,6,8,8,8,8,7,8,8,6,9,6,3,7,7,2,1,public services vs taxes,religious principles,social lifestyle
1,fra,5,UMP,609,neutral,5,8,neither benefit/lost,somewhat opposed,somewhat in favor,,,opposed,opposed,7,7,6,7,7,8,8,6,5,8,7,5,8,8,,9,3,3,7,7,3,1,deregulation,immigration,public services vs taxes
5,fra,5,UMP,609,in favor,7,6,benefited,,,,,,,8,8,8,8,8,7,6,8,5,7,8,6,8,9,6,5,6,3,7,7,2,2,public services vs taxes,civil liberties,multiculturalism
10,fra,5,UMP,609,neutral,5,7,neither benefit/lost,neutral,neutral,neutral,,somewhat opposed,somewhat opposed,7,6,4,3,3,7,6,6,5,7,6,7,7,8,5,5,7,3,8,9,5,5,nationalism,public services vs taxes,international security
2,fra,5,UMP,609,in favor,4,,benefited,,strongly in favor,,in favor,,neutral,8,9,9,8,7,9,9,9,8,strongly supports law and order,7,5,9,9,8,9,,4,strongly opposes more rights for ethnic minorities,9,,,state intervention,deregulation,immigration
13,fra,5,UMP,609,neutral,,,,somewhat opposed,somewhat in favor,,strongly opposed,strongly opposed,somewhat opposed,9,8,9,8,9,,,,,,,,,,,,,,,,,,,,
12,fra,5,UMP,609,in favor,4,6,benefited,in favor,in favor,somewhat in favor,,somewhat opposed,somewhat opposed,7,7,4,7,5,,,,,,,,,,,,,,,,,,,,
14,fra,5,UMP,609,somewhat in favor,3,6,neither benefit/lost,opposed,strongly in favor,somewhat opposed,neutral,strongly opposed,neutral,9,8,8,9,8,fully in favour of cutting services,strongly supports deregulation,8,fully opposed to state intervention in economy,strongly supports law and order,8,5,fully supports restrictive immigration policy,strongly favours assimilation,6,strongly supports economic growth,7,1,strongly opposes more rights for ethnic minorities,strongly promotes nationalist concepts for society,1,2,immigration,state intervention,multiculturalism
9,fra,5,UMP,609,strongly in favor,8,1,benefited,in favor,strongly in favor,,,,,,,,,,8,9,9,9,9,9,7,9,9,,7,8,,9,9,9,8,immigration,international security,deregulation
8,fra,5,UMP,609,strongly in favor,6,1,benefited,in favor,strongly in favor,,somewhat in favor,,somewhat in favor,8,9,6,8,7,8,8,9,8,7,7,5,,9,,9,6,,7,8,not important at all,not important at all,state intervention,public services vs taxes,immigration
3,fra,5,UMP,609,in favor,4,8,benefited,in favor,,in favor,strongly in favor,opposed,somewhat in favor,7,6,8,7,9,4,7,4,4,6,3,6,5,8,6,5,7,3,5,7,4,5,state intervention,urban vs rural,public services vs taxes
11,fra,5,UMP,609,somewhat in favor,2,8,benefited,neutral,somewhat in favor,neutral,in favor,somewhat opposed,neutral,,,,,,,,,,,,,,,,,,,,,,,,,
13,fra,6,FN,610,strongly opposed,,,,strongly opposed,strongly opposed,,strongly opposed,strongly opposed,strongly opposed,extreme right,center,8,traditional/authoritarian,great importance,,,,,,,,,,,,,,,,,,,,
8,fra,6,FN,610,strongly opposed,8,party was completely united,not benefited,strongly opposed,somewhat opposed,,opposed,,strongly opposed,extreme right,4,2,traditional/authoritarian,9,5,5,5,4,strongly supports law and order,8,3,,strongly favours assimilation,,strongly supports economic growth,,,strongly opposes more rights for ethnic minorities,strongly promotes nationalist concepts for society,extremely important,5,immigration,multiculturalism,redistribution
1,fra,6,FN,610,strongly opposed,6,2,not benefited,opposed,strongly opposed,,,strongly opposed,strongly opposed,,center,2,center,3,7,5,4,5,strongly supports law and order,6,2,fully supports restrictive immigration policy,strongly favours assimilation,,9,6,7,strongly opposes more rights for ethnic minorities,9,extremely important,6,immigration,multiculturalism,religious principles
6,fra,6,FN,610,strongly opposed,8,2,not benefited,strongly opposed,strongly opposed,strongly opposed,strongly opposed,strongly opposed,strongly opposed,extreme right,extreme right,4,traditional/authoritarian,8,8,strongly opposes deregulation,9,fully in favour state intervention in economy,strongly supports law and order,7,7,fully supports restrictive immigration policy,strongly favours assimilation,7,5,strongly opposes political decentralization,5,strongly opposes more rights for ethnic minorities,strongly promotes nationalist concepts for society,9,7,immigration,nationalism,anti-elite rhetoric
5,fra,6,FN,610,strongly opposed,7,party was completely united,not benefited,,,,,,,extreme right,center,8,traditional/authoritarian,9,7,5,6,5,8,9,5,fully supports restrictive immigration policy,strongly favours assimilation,8,6,5,5,strongly opposes more rights for ethnic minorities,strongly promotes nationalist concepts for society,extremely important,8,immigration,multiculturalism,anti-elite rhetoric
2,fra,6,FN,610,opposed,great importance,,not benefited,strongly in favor,strongly opposed,,,,strongly opposed,extreme right,,5,9,9,,1,3,3,,7,5,fully supports restrictive immigration policy,strongly favours assimilation,,strongly supports economic growth,,,strongly opposes more rights for ethnic minorities,strongly promotes nationalist concepts for society,extremely important,extremely important,anti-elite rhetoric,immigration,religious principles
14,fra,6,FN,610,strongly opposed,great importance,party was completely united,not benefited,strongly opposed,strongly opposed,strongly opposed,strongly opposed,strongly opposed,strongly opposed,extreme right,4,3,traditional/authoritarian,9,4,4,3,4,strongly supports law and order,8,6,fully supports restrictive immigration policy,strongly favours assimilation,7,strongly supports economic growth,strongly opposes political decentralization,5,strongly opposes more rights for ethnic minorities,strongly promotes nationalist concepts for society,9,8,immigration,multiculturalism,EU integration
4,fra,6,FN,610,opposed,8,2,not benefited,opposed,opposed,,opposed,strongly opposed,strongly opposed,extreme right,4,5,9,9,6,6,7,5,7,8,6,9,8,7,8,,,strongly opposes more rights for ethnic minorities,9,8,7,immigration,urban vs rural,social lifestyle
3,fra,6,FN,610,strongly opposed,great importance,party was completely united,not benefited,strongly opposed,,strongly opposed,opposed,strongly opposed,opposed,extreme right,extreme right,9,traditional/authoritarian,great importance,4,3,2,2,9,strongly opposes liberal policies,2,fully supports restrictive immigration policy,strongly favours assimilation,5,7,strongly opposes political decentralization,8,strongly opposes more rights for ethnic minorities,strongly promotes nationalist concepts for society,extremely important,extremely important,immigration,EU integration,nationalism
7,fra,6,FN,610,strongly opposed,9,party was completely united,not benefited,strongly opposed,strongly opposed,somewhat opposed,strongly opposed,strongly opposed,strongly opposed,extreme right,6,7,traditional/authoritarian,9,5,3,9,3,strongly supports law and order,strongly opposes liberal policies,strongly opposes religious principles in politics,fully supports restrictive immigration policy,strongly favours assimilation,,8,6,4,strongly opposes more rights for ethnic minorities,strongly promotes cosmopolitan concepts of society,extremely important,extremely important,,,
9,fra,6,FN,610,strongly opposed,9,party was completely united,not benefited,strongly opposed,strongly opposed,,,,,,,,,,5,5,4,7,strongly supports law and order,strongly opposes liberal policies,strongly opposes religious principles in politics,fully supports restrictive immigration policy,strongly favours assimilation,,5,9,2,strongly opposes more rights for ethnic minorities,strongly promotes nationalist concepts for society,extremely important,extremely important,immigration,ethnic minorities,nationalism
12,fra,6,FN,610,opposed,9,1,not benefited,in favor,opposed,opposed,,strongly opposed,strongly opposed,extreme right,6,7,traditional/authoritarian,5,,,,,,,,,,,,,,,,,,,,
11,fra,6,FN,610,strongly opposed,8,party was completely united,not benefited,strongly opposed,strongly opposed,strongly opposed,strongly opposed,strongly opposed,strongly opposed,,,,,,,,,,,,,,,,,,,,,,,,,
10,fra,6,FN,610,strongly opposed,8,6,not benefited,somewhat opposed,opposed,opposed,,opposed,strongly opposed,6,6,5,4,4,4,3,4,3,8,5,4,9,9,7,5,8,4,9,9,9,6,corruption,EU integration,nationalism
2,fra,7,MPF,612,opposed,,,not benefited,,strongly opposed,,,,strongly opposed,,extreme right,,traditional/authoritarian,9,8,,,8,strongly supports law and order,strongly opposes liberal policies,strongly supports religious principles in politics,fully supports restrictive immigration policy,,,strongly supports economic growth,,,,,,,anti-elite rhetoric,religious principles,immigration
6,fra,7,MPF,612,opposed,7,2,not benefited,strongly opposed,strongly opposed,strongly opposed,strongly opposed,strongly opposed,strongly opposed,9,7,2,9,8,7,1,8,4,9,8,7,9,9,8,5,7,4,8,9,6,5,nationalism,social lifestyle,urban vs rural
8,fra,7,MPF,612,strongly opposed,great importance,party was completely united,not benefited,strongly opposed,,,opposed,,strongly opposed,9,,1,9,9,fully in favour of cutting services,,,,,,,,strongly favours assimilation,,,,,strongly opposes more rights for ethnic minorities,strongly promotes nationalist concepts for society,,not important at all,,,
4,fra,7,MPF,612,strongly opposed,great importance,1,not benefited,opposed,somewhat opposed,,opposed,strongly opposed,strongly opposed,9,,no importance,9,8,,,,,,7,,,8,,,,,,,,,,,
1,fra,7,MPF,612,strongly opposed,7,party was completely united,not benefited,strongly opposed,strongly opposed,,,,strongly opposed,9,8,great importance,9,great importance,fully in favour of cutting services,,,,strongly supports law and order,strongly opposes liberal policies,8,fully supports restrictive immigration policy,strongly favours assimilation,,,,,,,,,,,
7,fra,7,MPF,612,strongly opposed,9,party was completely united,not benefited,strongly opposed,strongly opposed,somewhat opposed,strongly opposed,strongly opposed,strongly opposed,extreme right,6,8,traditional/authoritarian,9,5,3,9,3,strongly supports law and order,strongly opposes liberal policies,strongly opposes religious principles in politics,fully supports restrictive immigration policy,strongly favours assimilation,,8,6,4,strongly opposes more rights for ethnic minorities,strongly promotes cosmopolitan concepts of society,extremely important,extremely important,,,
9,fra,7,MPF,612,strongly opposed,9,party was completely united,not benefited,strongly opposed,strongly opposed,,,,,,,,,,,,6,8,strongly supports law and order,7,9,fully supports restrictive immigration policy,strongly favours assimilation,,,9,,strongly opposes more rights for ethnic minorities,strongly promotes nationalist concepts for society,extremely important,extremely important,nationalism,religious principles,EU integration
5,fra,7,MPF,612,opposed,8,2,not benefited,,,,,,,9,7,6,traditional/authoritarian,9,7,5,7,5,8,9,9,9,strongly favours assimilation,5,5,7,4,9,strongly promotes nationalist concepts for society,7,4,nationalism,immigration,EU integration
3,fra,7,MPF,612,strongly opposed,great importance,party was completely united,not benefited,strongly opposed,,strongly opposed,opposed,strongly opposed,opposed,9,extreme right,6,traditional/authoritarian,great importance,5,,7,,8,strongly opposes liberal policies,8,9,9,8,3,,,,strongly promotes nationalist concepts for society,,,nationalism,immigration,state intervention
12,fra,7,MPF,612,,great importance,,,in favor,in favor,,,,,,,great importance,,5,,,,,,,,,,,,,,,,,,,,
14,fra,7,MPF,612,strongly opposed,great importance,party was completely united,not benefited,strongly opposed,strongly opposed,strongly opposed,strongly opposed,strongly opposed,strongly opposed,extreme right,9,3,traditional/authoritarian,great importance,9,8,7,9,strongly supports law and order,strongly opposes liberal policies,strongly supports religious principles in politics,fully supports restrictive immigration policy,strongly favours assimilation,7,strongly supports economic growth,strongly opposes political decentralization,3,strongly opposes more rights for ethnic minorities,strongly promotes nationalist concepts for society,5,5,immigration,multiculturalism,religious principles
10,fra,7,MPF,612,strongly opposed,7,,not benefited,somewhat opposed,opposed,opposed,,opposed,strongly opposed,7,6,4,2,3,7,6,6,7,7,6,7,9,8,7,5,6,4,9,9,6,5,EU integration,nationalism,anti-elite rhetoric
13,fra,7,MPF,612,strongly opposed,,,,strongly opposed,strongly opposed,,strongly opposed,strongly opposed,strongly opposed,extreme right,9,no importance,traditional/authoritarian,8,,,,,,,,,,,,,,,,,,,,
11,fra,7,MPF,612,strongly opposed,8,2,not benefited,strongly opposed,strongly opposed,strongly opposed,strongly opposed,strongly opposed,strongly opposed,,,,,,,,,,,,,,,,,,,,,,,,,
11,fra,1,PCF,613,somewhat opposed,5,2,not benefited,,strongly opposed,,opposed,,opposed,,,,,,,,,,,,,,,,,,,,,,,,,
5,fra,8,MODEM,613,in favor,5,2,benefited,,,,,,,7,8,8,7,7,8,8,7,6,6,6,4,5,7,4,6,6,4,4,7,4,3,redistribution,civil liberties,social lifestyle
4,fra,1,PCF,613,somewhat opposed,7,3,benefited,somewhat in favor,opposed,in favor,somewhat in favor,somewhat in favor,opposed,2,1,8,4,5,1,1,2,fully in favour state intervention in economy,4,3,2,4,4,2,7,6,4,3,4,6,3,redistribution,public services vs taxes,state intervention
5,fra,1,PCF,613,somewhat opposed,4,3,neither benefit/lost,,,,,,,2,1,8,3,4,2,2,fully in favour of redistribution of wealth,2,4,3,strongly opposes religious principles in politics,2,3,3,4,6,8,3,4,5,4,redistribution,public services vs taxes,state intervention
12,fra,8,MODEM,613,in favor,5,3,benefited,in favor,somewhat in favor,somewhat in favor,,neutral,neutral,6,7,great importance,center,5,,,,,,,,,,,,,,,,,,,,
9,fra,8,MODEM,613,strongly in favor,7,1,benefited,in favor,strongly in favor,,,,,,,,,,7,8,8,8,6,,7,8,7,,,6,,6,6,9,8,,,
4,fra,8,MODEM,613,strongly in favor,6,3,benefited,strongly in favor,strongly in favor,somewhat in favor,strongly in favor,neutral,in favor,7,8,7,center,7,7,8,8,7,4,5,6,6,5,5,6,6,3,6,4,3,4,state intervention,EU integration,deregulation
9,fra,1,PCF,613,somewhat opposed,7,5,not benefited,somewhat opposed,somewhat in favor,,,,,,,,,,fully in favour of raising taxes for services,strongly opposes deregulation,fully in favour of redistribution of wealth,fully in favour state intervention in economy,3,2,strongly opposes religious principles in politics,fully opposed to restrictive immigration policy,1,,3,1,9,2,7,9,9,public services vs taxes,redistribution,corruption
11,fra,8,MODEM,613,strongly in favor,6,3,benefited,in favor,in favor,in favor,in favor,somewhat opposed,somewhat in favor,,,,,,,,,,,,,,,,,,,,,,,,,
3,fra,8,MODEM,613,strongly in favor,great importance,party was completely united,benefited,strongly in favor,,in favor,strongly in favor,,in favor,center,center,6,center,5,3,4,4,5,6,3,4,5,5,5,4,5,6,3,5,5,5,public services vs taxes,decentralization,EU integration
10,fra,1,PCF,613,opposed,5,4,neither benefit/lost,somewhat opposed,opposed,,,somewhat opposed,strongly opposed,2,2,2,center,3,2,1,2,2,5,3,2,3,5,3,7,5,6,6,7,7,5,anti-elite rhetoric,state intervention,public services vs taxes
7,fra,1,PCF,613,opposed,8,1,not benefited,somewhat opposed,opposed,somewhat in favor,somewhat opposed,opposed,opposed,1,1,9,7,3,1,2,fully in favour of redistribution of wealth,fully in favour state intervention in economy,3,4,strongly supports religious principles in politics,7,9,,9,8,3,4,2,8,3,,,
8,fra,8,MODEM,613,strongly in favor,6,party was completely united,benefited,strongly in favor,in favor,,in favor,,somewhat in favor,center,7,6,4,3,7,7,6,6,5,3,5,,6,,9,4,,4,4,6,not important at all,anti-elite rhetoric,state intervention,
8,fra,1,PCF,613,strongly opposed,3,party was completely united,not benefited,somewhat in favor,opposed,,neutral,,strongly opposed,3,1,9,center,1,fully in favour of raising taxes for services,strongly opposes deregulation,fully in favour of redistribution of wealth,fully in favour state intervention in economy,3,strongly supports liberal policies,strongly opposes religious principles in politics,,strongly favours assimilation,,7,,,,4,2,not important at all,deregulation,redistribution,state intervention
